Timestamp	I_0	Q_0	I_1	Q_1	I_2	Q_2	I_3	Q_3
0.0	411	-252	585	-613	680	-1116	1176	-2104
0.030919	410	-253	584	-614	680	-1116	1176	-2104
0.077792	413	-252	585	-613	680	-1116	1176	-2104
0.109707	413	-253	584	-614	680	-1117	1176	-2104
0.159574	412	-252	584	-613	680	-1116	1176	-2104
0.206449	412	-250	584	-613	680	-1116	1176	-2104
0.238364	411	-250	585	-613	680	-1116	1176	-2104
0.285239	411	-251	584	-613	680	-1116	1176	-2104
0.317156	410	-252	584	-613	679	-1116	1176	-2104
0.368019	410	-251	583	-613	680	-1116	1176	-2104
0.398935	411	-252	585	-614	680	-1116	1176	-2104
0.446807	412	-251	584	-614	680	-1116	1176	-2104
0.492685	412	-253	584	-614	679	-1116	1176	-2104
0.526596	412	-253	585	-613	680	-1116	1176	-2104
0.572472	412	-252	584	-613	680	-1116	1176	-2104
0.607379	411	-252	583	-614	680	-1116	1176	-2104
0.65226	412	-252	584	-614	680	-1116	1176	-2104
0.688164	411	-251	584	-614	679	-1116	1176	-2104
0.733045	411	-251	585	-614	680	-1116	1176	-2104
0.781915	412	-250	585	-614	680	-1116	1176	-2104
0.813828	411	-251	584	-614	680	-1116	1176	-2104
0.860703	412	-252	585	-613	680	-1116	1176	-2104
0.894612	412	-252	585	-614	680	-1116	1176	-2103
0.94049	412	-253	586	-614	679	-1116	1176	-2104
0.972405	412	-253	584	-613	680	-1116	1176	-2104
1.020277	412	-252	585	-613	680	-1116	1176	-2104
1.681512	412	-251	584	-614	680	-1116	1176	-2104
1.681512	411	-251	584	-615	679	-1116	1176	-2104
1.681512	412	-252	584	-614	680	-1116	1176	-2104
1.681512	412	-252	584	-613	679	-1116	1176	-2104
1.681512	411	-252	584	-614	680	-1116	1176	-2104
1.681512	411	-252	585	-613	680	-1116	1176	-2104
1.681512	412	-252	584	-614	680	-1116	1176	-2104
1.681512	412	-250	584	-614	680	-1116	1176	-2104
1.681512	412	-249	584	-614	680	-1116	1176	-2104
1.681512	412	-250	584	-614	680	-1116	1176	-2104
1.681512	413	-250	584	-613	679	-1116	1176	-2104
1.681512	412	-251	584	-614	680	-1116	1176	-2104
1.681512	411	-250	584	-614	680	-1116	1176	-2104
