Reference, Value, Footprint, Datasheet,Done
U1,LMH6619MA_NOPB,LMH6619MA:LMH6619MA&slash_NOPB,,TRUE
R1,100k,Resistors_SMD:R_1206_HandSoldering,~,TRUE
R2,100k,Resistors_SMD:R_1206_HandSoldering,~,TRUE
R3,10k,Resistors_SMD:R_1206_HandSoldering,~,TRUE
C1,20p,Capacitors_SMD:C_1206_HandSoldering,~,TRUE
R4,10k,Resistors_SMD:R_1206_HandSoldering,~,TRUE
C2,20p,Capacitors_SMD:C_1206_HandSoldering,~,TRUE
J3,Conn_02x04_Odd_Even,Pin_Headers:Pin_Header_Straight_2x04_Pitch2.54mm,~,TRUE
R5,10k,Resistors_SMD:R_1206_HandSoldering,~,TRUE
R6,1k,Resistors_SMD:R_1206_HandSoldering,~,TRUE
R7,100,Resistors_SMD:R_1206_HandSoldering,~,TRUE
R8,10,Resistors_SMD:R_1206_HandSoldering,~,TRUE
C9,100n,Capacitors_SMD:C_1206_HandSoldering,~,TRUE
U4,TLE2426xD,TLE2426CD:TLE2426CD,http://www.ti.com/lit/ds/symlink/tle2426.pdf,TRUE
C11,1u,Capacitors_SMD:C_1206_HandSoldering,~,TRUE
U3,LP2985A-10DBVR,LP2985A10DBVR:LP2985A-10DBVR,,TRUE
C6,1u,Capacitors_SMD:C_1206_HandSoldering,~,TRUE
C10,10n,Capacitors_SMD:C_1206_HandSoldering,~,TRUE
C7,10n,Capacitors_SMD:C_1206_HandSoldering,~,TRUE
U2,MAX903CSA+,MAX903CSA:MAX903CSA&plus_,,TRUE
C4,100n,Capacitors_SMD:C_1206_HandSoldering,~,TRUE
C8,100n,Capacitors_SMD:C_1206_HandSoldering,~,TRUE
C5,100n,Capacitors_SMD:C_1206_HandSoldering,~,TRUE
C3,100n,Capacitors_SMD:C_1206_HandSoldering,~,TRUE
TP1,DAC_AC,Measurement_Points:Measurement_Point_Square-TH_Big,~,#N/A
R16,6.98k,Resistors_SMD:R_1206_HandSoldering,~,TRUE
R14,4.64k,Resistors_SMD:R_1206_HandSoldering,~,TRUE
R15,1.10k,Resistors_SMD:R_1206_HandSoldering,~,TRUE
C13,1.5n,Capacitors_SMD:C_1206_HandSoldering,~,TRUE
TP6,ADC_OUT,Measurement_Points:Measurement_Point_Square-TH_Big,~,#N/A
J1,Barrel_Jack,Connectors:BARREL_JACK,~,TRUE
R19,510,Resistors_SMD:R_1206_HandSoldering,~,TRUE
D4,PWR_ON,LEDs:LED_1206_HandSoldering,~,TRUE
D1,D_Schottky,Diodes_SMD:D_1206,~,TRUE
D3,D_Schottky,Diodes_SMD:D_1206,~,TRUE
D6,D_Zener,Diodes_SMD:D_1206,~,TRUE
R18,1k,Resistors_SMD:R_1206_HandSoldering,~,TRUE
D2,D_Zener,Diodes_SMD:D_1206,~,TRUE
D5,ENABLE,LEDs:LED_1206_HandSoldering,~,TRUE
R17,68,Resistors_SMD:R_1206_HandSoldering,~,TRUE
R24,28k,Resistors_SMD:R_1206_HandSoldering,~,#N/A
R27,28k,Resistors_SMD:R_1206_HandSoldering,~,#N/A
C14,130p,Capacitors_SMD:C_1206_HandSoldering,~,#N/A
C16,130p,Capacitors_SMD:C_1206_HandSoldering,~,#N/A
R25,1.58meg,Resistors_SMD:R_1206_HandSoldering,~,#N/A
C15,130p,Capacitors_SMD:C_1206_HandSoldering,~,#N/A
R26,68.1k,Resistors_SMD:R_1206_HandSoldering,~,#N/A
R23,5.11k,Resistors_SMD:R_1206_HandSoldering,~,#N/A
C17,390p,Capacitors_SMD:C_1206_HandSoldering,~,#N/A
TP5,LF_4,Measurement_Points:Measurement_Point_Square-TH_Big,~,#N/A
R20,0R,Resistors_SMD:R_1206_HandSoldering,~,TRUE
R21,0R,Resistors_SMD:R_1206_HandSoldering,~,TRUE
R22,0,Resistors_SMD:R_1206_HandSoldering,~,TRUE
R29,0,Resistors_SMD:R_1206_HandSoldering,~,TRUE
R28,5.36k,Resistors_SMD:R_1206_HandSoldering,~,TRUE
C20,100n,Capacitors_SMD:C_1206_HandSoldering,~,TRUE
C18,C,Capacitors_SMD:C_1206_HandSoldering,~,
TP4,LF_3,Measurement_Points:Measurement_Point_Square-TH_Big,~,#N/A
RV2,47k,23BR50KLFTR:23BR50KLFTR,~,TRUE
C19,100n,Capacitors_SMD:C_1206_HandSoldering,~,TRUE
R10,13.7k,Resistors_SMD:R_1206_HandSoldering,~,TRUE
TP3,LF_2,Measurement_Points:Measurement_Point_Square-TH_Big,~,#N/A
TP2,LF_1,Measurement_Points:Measurement_Point_Square-TH_Big,~,#N/A
RV1,10k,23BR50KLFTR:23BR50KLFTR,~,TRUE
R13,806,Resistors_SMD:R_1206_HandSoldering,~,TRUE
R12,750,Resistors_SMD:R_1206_HandSoldering,~,TRUE
R11,14.0k,Resistors_SMD:R_1206_HandSoldering,~,TRUE
C12,680p,Capacitors_SMD:C_1206_HandSoldering,~,TRUE
R9,4.75k,Resistors_SMD:R_1206_HandSoldering,~,TRUE
U5,LM6144AIM_NOPB,LM6144AIM:LM6144AIM&slash_NOPB,,TRUE
TP8,TestPoint,Measurement_Points:Measurement_Point_Square-TH_Big,~,#N/A
TP7,TestPoint,Measurement_Points:Measurement_Point_Square-TH_Big,~,#N/A
J4,Screw_Terminal_01x04,TerminalBlocks_Phoenix:TerminalBlock_Phoenix_MPT-2.54mm_4pol,~,TRUE
J2,Conn_02x20_Odd_Even,Pin_Headers:Pin_Header_Straight_2x20_Pitch2.54mm,~,TRUE
,,,,56
